Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40772063,"The Lost Sisters (The Folk of the Air, #1.5)",Holly Black,"Black, Holly",,"=""""","=""9780316310444""",4,3.52,NOVL,ebook,50,2018,2018,2020/08/27,2020/08/26,,,read,,,,1,,,0,,,,,
187065,"New Spring (The Wheel of Time, #0)",Robert Jordan,"Jordan, Robert",,"=""1841492612""","=""9781841492612""",4,4.03,Orbit,Paperback,423,2004,2004,2020/08/26,2020/07/08,,,read,,,,1,,,0,,,,,
47212,"Storm Front (The Dresden Files, #1)",Jim Butcher,"Butcher, Jim",,"=""0451457811""","=""9780451457813""",5,3.98,Penguin ROC,Mass Market Paperback,355,2000,2000,2020/08/25,2020/08/25,,,read,,,,1,,,0,,,,,
21411388,Shadows for Silence in the Forests of Hell,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.20,Tor Books,,50,2013,2013,2020/08/25,2020/08/21,,,read,,,,1,,,0,,,,,
37640636,"Lies of the Beholder (Legion, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""159606885X""","=""9781596068858""",5,4.13,Subterranean Press,Hardcover,148,2018,2018,2020/08/22,2020/07/05,,,read,,,,1,,,0,,,,,
20886354,"Skin Deep (Legion, #2)",Brandon Sanderson,"Sanderson, Brandon",Jon Foster,"=""""","=""""",5,4.13,Subterranean Press ,Leather Bound,208,2014,2014,2020/08/22,2020/07/05,,,read,,,,1,,,0,,,,,
13452375,"Legion (Legion, #1)",Brandon Sanderson,"Sanderson, Brandon",Deniz Evliyagil,"=""1596064854""","=""9781596064850""",5,4.14,Subterranean Press,Hardcover,88,2012,2012,2020/08/22,2020/07/05,,,read,,,,1,,,0,,,,,
28862254,"White Sand, Volume 1 (White Sand, #1)",Brandon Sanderson,"Sanderson, Brandon","Rik Hoskin, Julius Gopez","=""1606908855""","=""9781606908853""",0,3.63,Dynamic Forces,Hardcover,160,2016,2016,,2020/08/21,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,4.10,William Morrow,Kindle Edition,635,2011,2001,,2020/08/21,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
18361393,"Redemption (Infinity Blade, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0983943028""","=""9780983943020""",5,3.87,ChAIR Entertainment Group,ebook,200,2013,2013,2020/08/21,2020/07/10,,,read,,,,1,,,0,,,,,
